country,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
Pakistan,"45985" ,"50220" ,"53575" ,"57012" ,"57923" ,"63750" ,"67565" ,"62481" ,"66396" ,"65302" ,"64650" ,"75121" ,"81637" ,"84488" ,"88658" ,"87107" ,"96226" ,"98789" ,"95101" 
Peru,"13808" ,"14482" ,"13122" ,"14808" ,"15866" ,"16144" ,"17280" ,"17953" ,"18583" ,"19050" ,"19923" ,"20786" ,"21982" ,"22923" ,"24267" ,"25510" ,"27370" ,"29943" ,"32627" 
Philippines,"26327" ,"25649" ,"25870" ,"26579" ,"30459" ,"33554" ,"36708" ,"39797" ,"41578" ,"41432" ,"45290" ,"47049" ,"48467" ,"52941" ,"55957" ,"56568" ,"56784" ,"59612" ,"59616" 
Poland,"136364" ,"134712" ,"132728" ,"133867" ,"135350" ,"139006" ,"143173" ,"142769" ,"142771" ,"142128" ,"145183" ,"145655" ,"144126" ,"151631" ,"154159" ,"156936" ,"161742" ,"159348" ,"154607" 
Portugal,"28500" ,"29871" ,"30087" ,"31205" ,"31380" ,"33263" ,"34521" ,"34208" ,"38984" ,"43287" ,"43764" ,"46509" ,"46107" ,"46852" ,"45105" ,"46585" ,"49041" ,"47441" ,"46114" 
Qatar,"4842" ,"4669" ,"5183" ,"5560" ,"5850" ,"6013" ,"6615" ,"6910" ,"8166" ,"8939" ,"9134" ,"9951" ,"10940" ,"12012" ,"13233" ,"14396" ,"15325" ,"17501" ,"19706" 
Romania,"63769" ,"56914" ,"54195" ,"55476" ,"55136" ,"59267" ,"61350" ,"57148" ,"53496" ,"50713" ,"51935" ,"53866" ,"54935" ,"56645" ,"56482" ,"59413" ,"62697" ,"61673" ,"64636" 
Russia,"1082200" ,"1068000" ,"1008000" ,"956000" ,"876400" ,"862100" ,"847000" ,"834000" ,"826100" ,"846200" ,"877800" ,"891300" ,"891270" ,"912080" ,"931900" ,"953100" ,"995950" ,"1014371" ,"1036200" 
Saudi Arabia,"70116" ,"74574" ,"79630" ,"87913" ,"96901" ,"99857" ,"103381" ,"107289" ,"112691" ,"120000" ,"126191" ,"133673" ,"141737" ,"153000" ,"159414" ,"174970" ,"179782" ,"185895" ,"193702" 
Singapore,"15618" ,"16597" ,"17543" ,"18962" ,"20676" ,"22057" ,"23458" ,"26188" ,"28283" ,"29520" ,"31665" ,"33089" ,"34665" ,"35331" ,"36810" ,"38213" ,"39442" ,"41138" ,"41717" 
Slovak Republic,"24019" ,"22732" ,"22255" ,"24429" ,"24740" ,"25905" ,"25261" ,"24251" ,"25000" ,"27743" ,"30685" ,"32046" ,"32427" ,"31178" ,"30567" ,"31455" ,"31418" ,"28056" ,"29488" 
South Africa,"165385" ,"168316" ,"167816" ,"174581" ,"182452" ,"188138" ,"200092" ,"210362" ,"205374" ,"203102" ,"210670" ,"210100" ,"217712" ,"234229" ,"244607" ,"244920" ,"253798" ,"266234" ,"273689" 
Spain,"151741" ,"159392" ,"161105" ,"160890" ,"164477" ,"168903" ,"176510" ,"183879" ,"196046" ,"208913" ,"224779" ,"237417" ,"246164" ,"264413" ,"280007" ,"294077" ,"303051" ,"306400" ,"310100" 
Sweden,"146508" ,"147384" ,"146444" ,"145975" ,"142895" ,"147617" ,"139686" ,"149407" ,"154234" ,"155159" ,"145757" ,"161729" ,"146731" ,"135213" ,"147647" ,"158413" ,"143300" ,"148557" ,"149256" 
Switzerland,"55804" ,"57810" ,"59126" ,"61267" ,"66453" ,"63080" ,"56888" ,"62715" ,"62877" ,"69546" ,"67351" ,"71912" ,"66654" ,"66988" ,"65549" ,"59772" ,"64130" ,"68026" ,"69111" 
Taiwan,"90201" ,"99176" ,"105528" ,"115205" ,"124635" ,"133117" ,"141962" ,"150186" ,"162879" ,"169473" ,"184856" ,"188518" ,"198812" ,"209051" ,"218371" ,"227357" ,"235186" ,"242674" ,"237723" 
Thailand,"46176" ,"52487" ,"59699" ,"66305" ,"74452" ,"83660" ,"91202" ,"97553" ,"94269" ,"94267" ,"95977" ,"102420" ,"109013" ,"116983" ,"125727" ,"132197" ,"138742" ,"144596" ,"147538" 
Turkey,"57543" ,"60246" ,"67342" ,"73808" ,"78322" ,"86247" ,"94862" ,"102000" ,"110900" ,"116594" ,"124921" ,"122725" ,"132482" ,"141280" ,"149608" ,"161983" ,"176237" ,"190689" ,"199079" 
Turkmenistan,"14610" ,"14900" ,"13100" ,"12637" ,"10496" ,"9800" ,"10100" ,"9400" ,"9100" ,"9000" ,"9845" ,"11154" ,"11200" ,"10800" ,"11425" ,"12820" ,"13650" ,"14606" ,"15336" 
Ukraine,"298500" ,"279000" ,"252600" ,"229907" ,"202922" ,"194018" ,"181709" ,"176000" ,"171900" ,"171000" ,"169000" ,"171400" ,"173734" ,"179504" ,"182200" ,"185000" ,"192125" ,"195131" ,"191688" 
United Arab Emirates,"17081" ,"17352" ,"18689" ,"21730" ,"23736" ,"24982" ,"26572" ,"28464" ,"33392" ,"37127" ,"39944" ,"43172" ,"46586" ,"49540" ,"52417" ,"60698" ,"66768" ,"71909" ,"77230" 
United Kingdom,"319739" ,"322875" ,"321043" ,"323102" ,"326558" ,"337424" ,"350867" ,"350667" ,"362702" ,"368152" ,"377070" ,"384786" ,"387246" ,"398209" ,"393929" ,"398359" ,"397855" ,"396142" ,"390011" 
United States,"3185427" ,"3223287" ,"3235428" ,"3353535" ,"3407381" ,"3516767" ,"3610696" ,"3660811" ,"3797086" ,"3875683" ,"3990496" ,"3924082" ,"4050287" ,"4075833" ,"4168116" ,"4257369" ,"4266332" ,"4364994" ,"4316037" 
Uzbekistan,"56325" ,"54165" ,"51050" ,"48716" ,"47000" ,"47400" ,"45419" ,"46000" ,"45900" ,"45300" ,"46800" ,"46576" ,"49306" ,"48700" ,"49627" ,"47706" ,"49299" ,"48999" ,"50099" 
Venezuela,"59321" ,"63337" ,"67440" ,"69382" ,"71221" ,"73446" ,"75588" ,"78066" ,"80904" ,"80585" ,"85211" ,"90117" ,"89395" ,"90060" ,"96870" ,"104358" ,"111478" ,"114538" ,"119295" 
